"","word","n"
"1","i",21400
"2","like",5900
"3","now",5300
"4","i’m",4700
"5","john",4700
"6","no",4500
"7","up",4200
"8","guy",3100
"9","love",2800
"10","wills",2300
"11","guys",2100
"12","right",2100
"13","should",1900
"14","will",1800
"15","mike",1700
"16","much",1700
"17","still",1600
"18","model",1500
"19","chicken",1400
"20","dude",1400
"21","omg",1400
"22","rose",1400
"23","see",1400
"24","first",1300
"25","tell",1300
"26","ever",1200
"27","joe",1200
"28","look",1200
"29","never",1200
"30","over",1200
"31","looks",1100
"32","would",1100
"33","lol",1000
"34","needs",1000
"35","new",1000
"36","next",1000
"37","both",900
"38","girl",900
"39","live",900
"40","nice",900
"41","oh",900
"42","de",800
"43","enewill",800
"44","feel",800
"45","i’ll",800
"46","night",800
"47","people",800
"48","wow",800
"49","yes",800
"50","7",700
"51","fuck",700
"52","likes",700
"53","need",700
"54","though",700
"55","trump",700
"56","truth",700
"57","venmo",700
"58","while",700
"59","desert",600
"60","end",600
"61","grocery",600
"62","hot",600
"63","luke",600
"64","send",600
"65","6",500
"66","dudes",500
"67","ex",500
"68","fell",500
"69","few",500
"70","g",500
"71","i’ve",500
"72","job",500
"73","joey",500
"74","key",500
"75","leo",500
"76","lil",500
"77","lot",500
"78","ok",500
"79","pick",500
"80","picks",500
"81","seems",500
"82","student",500
"83","super",500
"84","sure",500
"85","t",500
"86","throw",500
"87","until",500
"88","w",500
"89","wouldn’t",500
"90","5",400
"91","8",400
"92","bc",400
"93","book",400
"94","brought",400
"95","bull",400
"96","cute",400
"97","give",400
"98","hidden",400
"99","hope",400
"100","limo",400
"101","might",400
"102","peter",400
"103","picture",400
"104","pool",400
"105","pretty",400
"106","producers",400
"107","quest",400
"108","r",400
"109","room",400
"110","seem",400
"111","sense",400
"112","series",400
"113","set",400
"114","sick",400
"115","strzok",400
"116","sucks",400
"117","tv",400
"118","two",400
"119","um",400
"120","which",400
"121","y",400
"122","yo",400
"123","blow",300
"124","boys",300
"125","buy",300
"126","cb",300
"127","choir",300
"128","cough",300
"129","country",300
"130","d",300
"131","devo",300
"132","ejt___",300
"133","eyes",300
"134","fight",300
"135","fired",300
"136","free",300
"137","high",300
"138","huh",300
"139","hurt",300
"140","knew",300
"141","liked",300
"142","most",300
"143","move",300
"144","mvp",300
"145","nooooo",300
"146","put",300
"147","respect",300
"148","rest",300
"149","retriever",300
"150","sell",300
"151","shirt",300
"152","tbh",300
"153","turned",300
"154","ugh",300
"155","un",300
"156","under",300
"157","wtf",300
"158","60",200
"159","760yo",200
"160","9",200
"161","9th",200
"162","b",200
"163","bible",200
"164","big",200
"165","bigger",200
"166","bip",200
"167","boy",200
"168","bro",200
"169","bun",200
"170","burn",200
"171","c",200
"172","cologne",200
"173","cool",200
"174","cross",200
"175","cry",200
"176","currently",200
"177","cut",200
"178","debt",200
"179","def",200
"180","deserve",200
"181","dress",200
"182","dressed",200
"183","drop",200
"184","drunk",200
"185","dumb",200
"186","dumpster",200
"187","el",200
"188","entire",200
"189","eye",200
"190","feed",200
"191","felt",200
"192","fo",200
"193","found",200
"194","fr",200
"195","friend",200
"196","friends",200
"197","fun",200
"198","future",200
"199","giles",200
"200","group",200
