"","word","n"
"1","i",210300
"2","like",62400
"3","love",42500
"4","i’m",40200
"5","now",33500
"6","girl",30400
"7","up",29200
"8","no",20200
"9","did",19300
"10","would",19200
"11","omg",18700
"12","next",17800
"13","right",16000
"14","see",15900
"15","ever",15400
"16","girls",15300
"17","still",13800
"18","rose",13500
"19","feel",13000
"20","much",12800
"21","bibi_julz",12500
"22","first",11800
"23","will",11800
"24","need",11500
"25","oh",10000
"26","should",10000
"27","most",9800
"28","never",9700
"29","ok",9700
"30","b",9200
"31","over",9000
"32","hope",8800
"33","didn’t",8600
"34","lol",8400
"35","tell",8300
"36","i’ve",8100
"37","looks",7800
"38","people",7800
"39","yes",7400
"40","tv",7200
"41","needs",7100
"42","new",7100
"43","wow",7100
"44","u",6900
"45","look",6800
"46","give",6700
"47","guy",6700
"48","m",6100
"49","night",6100
"50","through",5500
"51","dude",5400
"52","s",5400
"53","ex",5300
"54","ross",5300
"55","two",5300
"56","pretty",5100
"57","deserve",5000
"58","live",5000
"59","old",5000
"60","sure",4900
"61","seen",4800
"62","mom",4600
"63","while",4600
"64","wtf",4600
"65","friend",4500
"66","friends",4500
"67","fuck",4500
"68","lot",4500
"69","put",4400
"70","yet",4400
"71","both",4300
"72","end",4300
"73","i’d",4300
"74","guys",4200
"75","producers",4200
"76","though",4000
"77","left",3900
"78","group",3800
"79","enough",3600
"80","seems",3500
"81","i’ll",3400
"82","cool",3300
"83","bc",3200
"84","bumper",3200
"85","deserves",3200
"86","im",3200
"87","k",3200
"88","big",3100
"89","cry",3100
"90","rn",3100
"91","cute",3000
"92","dress",3000
"93","hot",3000
"94","knew",2900
"95","super",2900
"96","entire",2800
"97","f",2700
"98","perfect",2700
"99","room",2700
"100","ugh",2700
"101","until",2700
"102","pick",2600
"103","respect",2600
"104","send",2600
"105","might",2500
"106","high",2400
"107","sent",2400
"108","sienne",2400
"109","5",2300
"110","scene",2300
"111","true",2300
"112","fun",2200
"113","suck",2200
"114","voice",2200
"115","queen",2100
"116","tho",2100
"117","boy",2000
"118","key",2000
"119","lost",2000
"120","move",2000
"121","nice",2000
"122","rock",2000
"123","shot",2000
"124","sucks",2000
"125","t",1900
"126","w",1900
"127","which",1900
