,text,date,city,state
80,@VictoriaLoder_ What are you thinking? A glass slipper seems somehow appropriate for a foot tattoo.,Sun May 26 12:00:20 +0000 2019,Prestonsburg,KY
81,@davidcicilline The FISA cast of characters are all pointing their fingers at Comey. How many indictments will there be along with Comey?,Sun May 26 12:00:21 +0000 2019,Cranston,RI
82,@octaviaspencer oh,Sun May 26 12:00:21 +0000 2019,Northview,MI
83,@jonliri Why do y’all go up for uncut dick this hard. 😐😐😐,Sun May 26 12:00:21 +0000 2019,Norland,FL
84,"Want to work at Accountemps? We're hiring in #Beverly, MA! Click for details: https://t.co/HxhmZd7kc6 #Accounting",Sun May 26 12:00:21 +0000 2019,Beverly,MA
85,Insane 💪🏼🎉👏🏼🇨🇦,Sun May 26 12:00:21 +0000 2019,Queens,NY
86,@mizaki_shidou @azuremarill @femslashfatale The rest of the world treated her as a 14 year old girl. I don’t think… https://t.co/usVpUlZVKC,Sun May 26 12:00:21 +0000 2019,Brooklyn,NY
87,"@QTAnon1 If they try to enforce any law unilaterally, they will have severe consequences.",Sun May 26 12:00:22 +0000 2019,Glenvar Heights,FL
88,"If you're looking for work in Charlotte, NC, check out this job: https://t.co/h2CCExpyqC #DreamJob #NASCAR",Sun May 26 12:00:22 +0000 2019,Charlotte,NC
89,I’m marrying an asshole,Sun May 26 12:00:23 +0000 2019,Boston,MA
90,Oh good,Sun May 26 12:00:23 +0000 2019,Boston,MA
91,@abbssx3 She bold as hell with that stiff ass wig on her head😂,Sun May 26 12:00:23 +0000 2019,Cocoa Beach,FL
92,I’m mad my hair isn’t gonna be blue cus the girl sent my wig n forgot to dye it 🙄,Sun May 26 12:00:23 +0000 2019,Waldorf,MD
93,@DanicaRacing @DanicaPatrick @nbc @BorgTrophy @IndyCar @DanicaRacing Hey...Good Morning and Happy Sunday! Good luck… https://t.co/p16FARY36n,Sun May 26 12:00:23 +0000 2019,Boynton Beach,FL
94,"@realDonaldTrump @AbeShinzo Diplomacy at first level,to the heart of people,bravo.",Sun May 26 12:00:23 +0000 2019,Concord,CA
95,@DougSloan https://t.co/z8zb9Z3s2l,Sun May 26 12:00:24 +0000 2019,Washington,DC
96,@dandersod Dan...that is fricking awesome.,Sun May 26 12:00:24 +0000 2019,Mariemont,OH
97,@CteNths Thank you💕,Sun May 26 12:00:24 +0000 2019,Houston,TX
98,@JackBur13812119 So keep it up! It’s worth it! ☺️,Sun May 26 12:00:24 +0000 2019,Ironwood,MI
99,@BabyGo2014 @DerekPa56710094 @pratoshnivedita @DansoyGomez @ms_tarrie @jill_magnussen @anita07710832… https://t.co/U6Vye2w94F,Sun May 26 12:00:24 +0000 2019,Hagerstown,MD
100,Scamp nerds getting ya down? Follow my how-to vid for great results https://t.co/oXuOeL8I3H,Sun May 26 12:00:24 +0000 2019,Richmond,VA
101,The best feeling is being in a good ass mood for no reason.,Sun May 26 12:00:25 +0000 2019,Boston,MA
102,🕑  DONG DONG,Sun May 26 12:00:25 +0000 2019,Honolulu,HI
103,@JodySargent Nobody needed him apparently,Sun May 26 12:00:26 +0000 2019,Tampa,FL
104,Dogs can sense stuff. Best believe my puppy was extra close to me and still is 💯,Sun May 26 12:00:26 +0000 2019,Cannon Air Force Base,NM
105,"@ProFootballTalk You say that now,but if you sign with the Jets you ll regret it. Just take the paycut,sign with co… https://t.co/DCIk5at1tu",Sun May 26 12:00:27 +0000 2019,Yonkers,NY
106,#outlander fans imagine being stuck on a bus with @RikRankin @JohnBell a S @SeraLysMcArthur too epic to miss!!,Sun May 26 12:00:27 +0000 2019,Manhattan,NY
107,Emma in the pool @ Cedar Beach Park https://t.co/jmJqjD3KI7,Sun May 26 12:00:27 +0000 2019,Allentown,PA
108,Yeah what’s up @nytimes Are you trying to be even handed again?,Sun May 26 12:00:28 +0000 2019,Wyndmoor,PA
109,🕖  TICTAC TICTAC TICTAC TICTAC TICTAC TICTAC TICTAC,Sun May 26 12:00:28 +0000 2019,Chicago,IL
110,"current weather in Cheyenne: mist, 52°F
100% humidity, wind 8mph, pressure 1018mb",Sun May 26 12:00:28 +0000 2019,Cheyenne,WY
111,I feel attacked,Sun May 26 12:00:28 +0000 2019,Brooklyn,NY
112,@ScottPresler They can’t handle the TRUTH. And that means take care of are people first  that’s were my forced taxe… https://t.co/kUEs6k7EG1,Sun May 26 12:00:28 +0000 2019,Carson,CA
113,@Umax39 Yes sir.,Sun May 26 12:00:28 +0000 2019,Rushville,IN
114,Almost killed @Sham1er and @Stiggity101 😂😂,Sun May 26 12:00:29 +0000 2019,Buffalo,NY
115,Finally saw Aquaman... it was not good. It was not even close to good. Jason Momoa is amazing and the character is… https://t.co/vjYndm3529,Sun May 26 12:00:29 +0000 2019,Palm Coast,FL
116,@realDonaldTrump @AbeShinzo Now I know you didn’t write this tweet out. You couldn’t spell Biden what makes the wor… https://t.co/CwPKftHefM,Sun May 26 12:00:29 +0000 2019,New Bedford,MA
117,@Here_2_Edutain_ I've seen this like 6 times already bro! Twice in theaters.,Sun May 26 12:00:29 +0000 2019,Chicago,IL
118,"Rollin', rollin', rollin', keep those entries rollin'!!!! Don't forget! You have until 11:59 p.m. EST TONIGHT to en… https://t.co/DVyurRqN8Y",Sun May 26 12:00:29 +0000 2019,Salt Lake City,UT
119,"I know from an international viewpoint he might have appeal, but as a British citizen I really have no faith in a B… https://t.co/0CHaCsvKDY",Sun May 26 12:00:29 +0000 2019,Manhattan,NY
120,@shevanel_mtg Always 😏🔥⚡️,Sun May 26 12:00:30 +0000 2019,Sykesville,MD
121,new york! https://t.co/cTUPw4FRnC,Sun May 26 12:00:29 +0000 2019,Queens,NY
122,can u rlly blame mr krabs for chasing that check,Sun May 26 12:00:30 +0000 2019,San Luis Obispo,CA
123,Alexandria Ocasio-Cortez Exposes Dangers of Facial Recognition | NowThis https://t.co/9rJ9FXe0Wj via @YouTube,Sun May 26 12:00:30 +0000 2019,Swissvale,PA
124,"I'm at Macys parking lot in Willow Grove, PA https://t.co/8RtYBXvHeN",Sun May 26 12:00:31 +0000 2019,Willow Grove,PA
125,Post laundry treat... @ Starbucks https://t.co/LGKt3tZnt9,Sun May 26 12:00:31 +0000 2019,Newington,CT
126,Today was the first time i’ve tried a kolache without mustard. it’s actually the best thing ever,Sun May 26 12:00:31 +0000 2019,Midland,TX
127,"We're hiring! Read about our latest job opening here: Senior Statistical Programmer, Dermatology (Office/Home-Based… https://t.co/mvsQsg3OEN",Sun May 26 12:00:32 +0000 2019,Rochelle Park,NJ
128,@aleyda How do I increase my Favicon Authority (FA) score⁉️,Sun May 26 12:00:32 +0000 2019,Dartmouth,MA
129,"This job is now open at U.S. Bank in #Cincinnati, OH. Follow us and turn on mobile alerts to hear about jobs like t… https://t.co/hOixMJKMTG",Sun May 26 12:00:32 +0000 2019,Cincinnati,OH
130,@mitchellvii Biden goes to jail.,Sun May 26 12:00:32 +0000 2019,Puyallup,WA
131,"So long Alpharetta Elementary - it’s been an amazing 24 years!  Love my students, my work friends and all the fanta… https://t.co/dEWVdB5fJG",Sun May 26 12:00:31 +0000 2019,Roswell,GA
132,“ pick ya pants up boy. “,Sun May 26 12:00:32 +0000 2019,Manhattan,NY
133,Today's forecast is rain in the morning with a low of 63°F and a high of 78°F around 6pm,Sun May 26 12:00:32 +0000 2019,Rock Island,IL
134,@JustWallaceTech https://t.co/FOnjoFFnCd,Sun May 26 12:00:32 +0000 2019,Gary,IN
135,"@sharonewallace
https://t.co/9IDTe8jLsF",Sun May 26 12:00:32 +0000 2019,Uniondale,NY
136,"loved this thread so much, I feel this",Sun May 26 12:00:32 +0000 2019,Queens,NY
137,@Mediaite @DineshDSouza Wallace is bulling.,Sun May 26 12:00:33 +0000 2019,Austin,TX
138,"SOCCER MATCHES:
LEAGUE ONE: 
SUNDERLAND/CHARLTON OVER 2 GOALS
SERIE A:
INTR MILANO
ATALANTA BERGAMASCA CALCIO
AC MI… https://t.co/gKL2NK7Nyj",Sun May 26 12:00:33 +0000 2019,Baltimore,MD
139,"Ca(OH)2 + CO2 → CaCO3 + H2O
https://t.co/gudfYVzkdC",Sun May 26 12:00:33 +0000 2019,Bronx,NY
140,"Don't submit then quit. Apply for jobs like ""Intelligence Analyst Principal - All Source"" at SAIC, then look for pe… https://t.co/trFI3ZGLfH",Sun May 26 12:00:33 +0000 2019,Wright-Patterson Air Force Base,OH
141,"🤗Felicidades en tu Día 😘

Gracias Mi querida madre por regalarme la vida, por permitirme conocer este mundo, por da… https://t.co/9fMfldgCxt",Sun May 26 12:00:34 +0000 2019,Boston,MA
142,2 Huge PRs for Carolyn and Abby as well as 3rd place finishes! Great job ladies! https://t.co/dVhoQnTsmR,Sun May 26 12:00:34 +0000 2019,Irondequoit,NY
143,IM CHOKING 😂😂😂😂😂😂😂,Sun May 26 12:00:35 +0000 2019,Tallahassee,FL
144,Was an absolute honor to #Grill4aHero for my brothers father in law Pete Heeringa. A true American Hero.  He served… https://t.co/58ZSZBQqmx,Sun May 26 12:00:35 +0000 2019,Zionsville,IN
145,I haven’t been here in over 25 years - it used to be Bethesda Naval Hospital. Now it’s a huge joint service medical… https://t.co/BEpUGdvDVG,Sun May 26 12:00:35 +0000 2019,Bethesda,MD
146,@violinwitch ❤️❤️❤️❤️❤️ Thank youuuu,Sun May 26 12:00:35 +0000 2019,Mount Pleasant,SC
147,https://t.co/Sup5pkb3xe,Sun May 26 12:00:35 +0000 2019,Wheaton,MD
148,@GeoffreyIngram1 @myriadmoment that’s when i hit the RT,Sun May 26 12:00:35 +0000 2019,Milwaukee,WI
149,This my man rite here🔥😍,Sun May 26 12:00:35 +0000 2019,Durham,NC
150,@tbertsou @RandyMoss @Boobie24Dixon He’s going to be the MVP 🤦🏾‍♂️,Sun May 26 12:00:35 +0000 2019,Rockford,IL
151,Our shower trailer for our neighbors experiencing homelessness is tagged and rolling ! We’ve see 48 neighbors come… https://t.co/48KeBduDds,Sun May 26 12:00:35 +0000 2019,Atlanta,GA
152,"Hey, @O2. I have 100GB data that I want to use oversea, and I’m eligible to. But it’s painfully slow even when I ha… https://t.co/jjrPpDpERc",Sun May 26 12:00:36 +0000 2019,Linthicum,MD
153,"current weather in Billings: broken clouds, 48°F
76% humidity, wind 3mph, pressure 1013mb",Sun May 26 12:00:36 +0000 2019,Billings,MT
154,#MountSi #NorthBend #wa #Washington #omaralicea https://t.co/UtfbBrbHfd,Sun May 26 12:00:35 +0000 2019,North Bend,WA
155,@heath_stewart lets refix our @ signs hunny,Sun May 26 12:00:36 +0000 2019,Pensacola,FL
156,Like just the flow on purple was just &gt;&gt;&gt;&gt;&gt;&gt;&gt;🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️,Sun May 26 12:00:36 +0000 2019,Gramercy,LA
157,Thank you @MomoCon for inviting us. Thank you @ArguingMeadows for all the lovely gifts. See you all again very soon… https://t.co/PI94ZKdIuK,Sun May 26 12:00:36 +0000 2019,Atlanta,GA
158,"@realDonaldTrump @AbeShinzo .... TRUMP'S 'INTENT' IS TO'DIVERT'
ATTENTION AWAY FROM HIS 'CRIMES'....
.... PROVOKING… https://t.co/hpV2kt8jTX",Sun May 26 12:00:37 +0000 2019,Four Corners,FL
159,@candicechetta @andrewzigler thank you. i will amend for the next time someone sets me up for this exact rant which… https://t.co/Xay17mD6Ei,Sun May 26 12:00:37 +0000 2019,Easton,PA
160,Lmfaooo im screaming,Sun May 26 12:00:38 +0000 2019,Miami,FL
161,Our school wrestling!,Sun May 26 12:00:38 +0000 2019,Wentzville,MO
162,omg,Sun May 26 12:00:38 +0000 2019,Bronx,NY
163,Not a bad view from my breakfast table. #balticon @ Renaissance Baltimore Harborplace Hotel https://t.co/KK7FpfqqVT,Sun May 26 12:00:38 +0000 2019,Baltimore,MD
164,ithought,Sun May 26 12:00:39 +0000 2019,Garland,TX
165,600 year old Cliff paintings by Easter Woodlands Tribes. On Tennessee River. Cleaned and protected Nd difficult to… https://t.co/y6qsAUsdi4,Sun May 26 12:00:39 +0000 2019,Albertville,AL
166,"@Deadlysecret007 Morning, Lucky. Quite a crowd here last night sitting on pins n needles in the Screening Snug wait… https://t.co/qPzNFzH3pZ",Sun May 26 12:00:39 +0000 2019,Providence,RI
167,"I'm at Terminal A in Newark, NJ https://t.co/hiXJErOrGE",Sun May 26 12:00:40 +0000 2019,Newark,NJ
168,@dayoadesina2u @SportsCenter I mean why not the media is allowed to lie like she did moments after the game https://t.co/8L6HW6Qgmz,Sun May 26 12:00:40 +0000 2019,Racine,WI
169,"@cspanwj 
Abolish the gas tax!
Tax each state for their infrastructure.
Let each state decide how to tax their own residents to pay for it!",Sun May 26 12:00:40 +0000 2019,Anthem,AZ
170,@CmdrLlama @MMMuseum @Fallout @bethesda @WVtourism All of this stuff I believe is a available on their online store… https://t.co/mnY1QQLraK,Sun May 26 12:00:40 +0000 2019,Point Pleasant,WV
171,"God knows, God cares, and God sees. #DaretoBelieveAgain #SundayMorning https://t.co/DVzYmNQV4m",Sun May 26 12:00:39 +0000 2019,Harrison,TN
172,Child abuse: Teachers allegedly told to favor black students in ‘racial equity’ training: https://t.co/hvJY893ADa,Sun May 26 12:00:41 +0000 2019,Holtsville,NY
173,Congrats! Go Warriors! 🥈💙💛,Sun May 26 12:00:41 +0000 2019,Glenview,IL
174,05:00 61F(Hi68/Lo61) Feels like 57F Wind SE 0-&gt;0mph (Calm) Hum 32% Baro 29.78(-) Solar 0 UV 0.0 ET 0.014 Cloudbase… https://t.co/tzWUyWs15W,Sun May 26 12:00:41 +0000 2019,Apache Junction,AZ
175,It’s so nice being in a better group of friends that actually want to hang out and don’t text just bc the need something,Sun May 26 12:00:41 +0000 2019,Muskegon,MI
176,"Keep it going strong Ladies, fear no distractions.",Sun May 26 12:00:42 +0000 2019,Ives Estates,FL
177,.,Sun May 26 12:00:42 +0000 2019,Philadelphia,PA
178,"@ArtaGene @sadmonsters You better watch out you will be pecked to death, we are going to make America Great again d… https://t.co/CsInKwDlBL",Sun May 26 12:00:42 +0000 2019,Cape Canaveral,FL
179,"@virgiltexas i also had a very good algerian meal at raïnarai, which is a grocery by day and restaurant by night :)",Sun May 26 12:00:42 +0000 2019,Washington,DC
180,"@BizballMaury @FordvFerrari @IMS Check out AJ Baime’s book , Go Like Hell ... movie is based on it",Sun May 26 12:00:42 +0000 2019,Charlotte,NC
181,I got a Tempur Pedic mattress delivered yesterday 🤦🏽‍♀️ look I ain’t never spent over 1k on a mattress my mom talke… https://t.co/jKEroL204A,Sun May 26 12:00:42 +0000 2019,Los Angeles,CA
182,@Geraldini93 @Eagles @fcoxx_91,Sun May 26 12:00:42 +0000 2019,Shirley,NY
183,For girls soccer COTY: Salisbury’s Matt Parrish CCC co champs. POTY: West’s Lejla Mehmedovic.,Sun May 26 12:00:42 +0000 2019,Salisbury,NC
184,I’m the dancer without the sound or whatever Case said on “Missing You”,Sun May 26 12:00:43 +0000 2019,Chicago,IL
185,@MedusaShowOff LMFAOOOOO. THIS IS VERY....TRUE😭😭😭😭😭😭😭😭😭😭,Sun May 26 12:00:43 +0000 2019,Norland,FL
186,@theyonndon @theestallion Lol,Sun May 26 12:00:43 +0000 2019,Dayton,OH
187,The latter isn't t true.,Sun May 26 12:00:43 +0000 2019,Martinez,GA
188,@kurtsteiss We got there at the third period so I missed you. Going to check out your pix now 😊📸🏒,Sun May 26 12:00:43 +0000 2019,Toledo,OH
189,This man should be arrested!!!!!,Sun May 26 12:00:44 +0000 2019,Hicksville,NY
190,"@HawaiiDelilah Spreading lies isn't free speech. It's propaganda.

I disabled my FB account about a month ago, and… https://t.co/lsV2Q2UECZ",Sun May 26 12:00:44 +0000 2019,Holden,MA
191,I 💓 being woken up by thunder 🥰 https://t.co/ZtdqoO3n1v,Sun May 26 12:00:44 +0000 2019,Columbus,OH
192,@JoyceWhiteVance @HillaryClinton Madam Secretary you need to lawyer up!!,Sun May 26 12:00:45 +0000 2019,Hillsborough,NC
193,"@JedediahBila Congratulations Jededia, and to your husband.  Enjoy this new story in your lives 👶",Sun May 26 12:00:45 +0000 2019,Pennington,NJ
194,@La_Gallinita_ Puedo sentir el dolor de cabeza que me daba esa música los sábados de limpieza,Sun May 26 12:00:45 +0000 2019,Aguadilla,co
