,text,date,city,state
0,@_Cinderella_007 HELLO.  Ifb.  I'm capped  and will follow as many as I can  as soon as I can.,Sun May 26 12:00:00 +0000 2019,Martinez,GA
1,the first day ive cut it close at LAX and the security check is the longest ive seen...this’ll be fun,Sun May 26 12:00:00 +0000 2019,Los Angeles,CA
2,@LivePDPuns @Christina_Roof Yes it does makes you not feel alone going through this.,Sun May 26 12:00:01 +0000 2019,Williamsburg,OH
3,"My lord, could drake be any bigger a fucking clown? I don’t see how tbh",Sun May 26 12:00:01 +0000 2019,Tampa,FL
4,he mighta just did sumn,Sun May 26 12:00:01 +0000 2019,Manhattan,NY
5,"@PeterBurnsESPN I ❤️ @jonbonjovi, so seeing him at Patriots games causes me great displeasure.",Sun May 26 12:00:01 +0000 2019,Hilton Head Island,SC
6,Y’all. I have a tan line from my @fitbit watch! 😭🤦🏻‍♀️,Sun May 26 12:00:01 +0000 2019,Holly Springs,GA
7,im literally such a crackhead this is not okay,Sun May 26 12:00:01 +0000 2019,Brawley,CA
8,Frankie Kings of Direwolfs https://t.co/zqJas3uBOG,Sun May 26 12:00:01 +0000 2019,Houston,TX
9,👀 the top of page 2. So proud of @kaitlyn_ammons she has survived the second cut and is in the top 68 at the USA U1… https://t.co/rWKvXTLeIu,Sun May 26 12:00:02 +0000 2019,Morgantown,WV
10,Morning Glory #Farm now open 9am-5pm on Sundays. Also open 9am-5pm on Monday this week due to #MemorialDay then bac… https://t.co/0ca1B3vyTq,Sun May 26 12:00:02 +0000 2019,Edgartown,MA
11,"So thanks to FB Memories, I realize today is the 3rd anniversary of #WheresRichardMason, wherein Richard, who was p… https://t.co/9IZVDFJZzN",Sun May 26 12:00:02 +0000 2019,Miami,FL
12,@Spinnakerbaybe @KellyGToGo Good for you!,Sun May 26 12:00:02 +0000 2019,Houghton,MI
13,Frankie Kings of Direwolfs https://t.co/zqJas3uBOG,Sun May 26 12:00:01 +0000 2019,Houston,TX
14,#LakeShow #WeGotBron 😂😂😂,Sun May 26 12:00:03 +0000 2019,Miami,FL
15,Even doubled up with an auto👍#thehobby #footballcards #lsutigersfootball #geauxtigers #clevelandbrowns #browns @ Gr… https://t.co/qqnSUxlUOd,Sun May 26 12:00:03 +0000 2019,Greenwood,AR
16,@sduer26 Happy Birthday!!!,Sun May 26 12:00:03 +0000 2019,Highland-on-the-Lake,NY
17,@OSUmommaDOC Oh! Pick me! Pick me!,Sun May 26 12:00:04 +0000 2019,River Heights,UT
18,The view from my morning meditation. This is the day that the Lord has made. https://t.co/IUxeW8SWDz,Sun May 26 12:00:02 +0000 2019,Washington,DC
19,"Tracklocross is crazy!

#dontlookback #antigravity #makeitlookeasy #hotanddirtyfun #drinkallthewater! @ Tampa, Flor… https://t.co/J88itqIuAA",Sun May 26 12:00:03 +0000 2019,Tampa,FL
20,"I'm at @Apple Southpoint in Durham, NC https://t.co/xFPrkERELE",Sun May 26 12:00:04 +0000 2019,Durham,NC
21,Folks nowadays will swear you hating and won’t have a d*** thang to hate on 🙄,Sun May 26 12:00:05 +0000 2019,Verona,MS
22,Kept everything! @ Madison Square Townhouses https://t.co/AlrLhEFKKH,Sun May 26 12:00:05 +0000 2019,Florence,AL
23,"07:54 Temp. 57.7°F, Hum. 100%, Dewp. 57.9°F, Bar. 29.79 inHg, Rain Today 0.1339 inch, Wind -1° 0 kn",Sun May 26 12:00:05 +0000 2019,Westford,MA
24,@realDonaldTrump @WhiteHouse @AbeShinzo https://t.co/lgfKiOkBXB,Sun May 26 12:00:06 +0000 2019,Irvine,CA
25,@kassiaowedekind I am just starting to take your book in and wanted to thank you for such a clear piece on workshop.☺️,Sun May 26 12:00:06 +0000 2019,Charlotte,NC
26,"I always say, we should vote shame the 26% of Sanders revolutionaries. Apathy is one thing...voting to throw the ma… https://t.co/4DxrOQaPrn",Sun May 26 12:00:06 +0000 2019,Greensburg,PA
27,Being a middle aged father and husband comes with uncontrollable urges to go to Lowe's at 7am on Sunday mornings wh… https://t.co/Hj8H7MEomT,Sun May 26 12:00:06 +0000 2019,Village St George,LA
28,da abortion,Sun May 26 12:00:07 +0000 2019,Deer Park,TX
29,Happy Memorial Day!! Aloha🌺❤️🌺 https://t.co/TKM0mn3mwC,Sun May 26 12:00:06 +0000 2019,Honolulu,HI
30,@DeRozayRj Facts even treats his homies right too 👏🏼😂,Sun May 26 12:00:08 +0000 2019,West Covina,CA
31,"Storms and flooding raging in Oklahoma, my home state! Please pray for them and support them! #OklahomaStrong 😪🙏🏼🙏🏼… https://t.co/S6wEB9CvE7",Sun May 26 12:00:08 +0000 2019,Greensboro,NC
32,"Grateful beyond words. Two graduates, one night. Thank you @Hilliard_Darby for an awesome ride! (Photo credit, and… https://t.co/EfH8wF8Cy8",Sun May 26 12:00:08 +0000 2019,Hilliard,OH
33,"Shout out to Kent County Hospital ICU ❤
You people were awesome and you made
Me know that my brother was being care… https://t.co/HKYhiVrEMp",Sun May 26 12:00:07 +0000 2019,Warwick,RI
34,@isu1029 🤣🤣 https://t.co/GXTZDLcUpC,Sun May 26 12:00:08 +0000 2019,Brielle,NJ
35,This #myredline social media campaign of women fighting for their rights are to be recognized as human beings and n… https://t.co/vUaKPQb0La,Sun May 26 12:00:09 +0000 2019,Manhattan,NY
36,near bsgstblender: 0ac2b950-b192-4100-8213-a02149fd1889,Sun May 26 12:00:09 +0000 2019,Pittsburgh,PA
37,Bonjour ☀️,Sun May 26 12:00:09 +0000 2019,Hidden Hills,CA
38,"nice @starbucks 80126 ish next to @LaMarsDonuts 

you know

that one

@dcsheriff",Sun May 26 12:00:09 +0000 2019,Highlands Ranch,CO
39,"Stumbled upon these beauties. #corvettestingray #camaro #chevelle @ Richmond, Virginia https://t.co/FmuHl3uLD6",Sun May 26 12:00:10 +0000 2019,Richmond,VA
40,Me wanting to me home cause I know the Crew is about to have a liive @$$ bonfire &amp; im not home.. *sigh* 😩… https://t.co/qjS3h1mYAq,Sun May 26 12:00:10 +0000 2019,Nashville,TN
41,"This job is now open at Wells Fargo in #Chesapeake, VA. Follow us and turn on mobile alerts to hear about jobs like… https://t.co/V5o0AnxFgw",Sun May 26 12:00:11 +0000 2019,Chesapeake,VA
42,@firstwefeast Mashed potatoes,Sun May 26 12:00:12 +0000 2019,Cincinnati,OH
43,@annikxa dw girl same :(,Sun May 26 12:00:12 +0000 2019,Enterprise,NV
44,"Norfolk Southern is hiring in #Norfolk, VA! Read about our latest #internship job opening via the link in our bio:… https://t.co/l8IUbkOZ2E",Sun May 26 12:00:12 +0000 2019,Norfolk,VA
45,"@DerronEShort Yes indeed, GOD is that can do all things, we just have to do our part!",Sun May 26 12:00:13 +0000 2019,Atlanta,GA
46,🕔  TON TON TON TON TON,Sun May 26 12:00:13 +0000 2019,Los Angeles,CA
47,@voguemagazine https://t.co/Oih6gjyLIe,Sun May 26 12:00:13 +0000 2019,Light Oak,NC
48,"@CHIZMAGA Could only find that in the
 ""Twilight Zone"". Lol",Sun May 26 12:00:14 +0000 2019,Waukesha,WI
49,And misogynistic white men voted for him BECAUSE he assaulted these women among other anti-woman outrages. They als… https://t.co/bAPQZ1ZFGR,Sun May 26 12:00:14 +0000 2019,Alexandria,VA
50,".@maureendowd I, too, would like to see @idriselba resume his role in Luther. We can dream. https://t.co/mGCYcV5jQS",Sun May 26 12:00:14 +0000 2019,Queens,NY
51,😍😍😍,Sun May 26 12:00:14 +0000 2019,Beaumont,TX
52,.@DavidJollyFL @TheRickWilson - Within six months everyone of his golf courses will have that photo posted saying h… https://t.co/gpHiKat8R3,Sun May 26 12:00:15 +0000 2019,Philadelphia,PA
53,If I ever wondered what I’d look like in 50 years... there she is 😎😎 https://t.co/JYFSGnplrH,Sun May 26 12:00:15 +0000 2019,San Diego,CA
54,"The police union for @BaltimorePolice 

#Shame",Sun May 26 12:00:15 +0000 2019,Baltimore,MD
55,@sadaka2008 @casekaem @TrueFactsStated Has he never met a tailor?,Sun May 26 12:00:15 +0000 2019,West Palm Beach,FL
56,"@dustinrhodes @AEWrestling ""Vince better watch his ass?"" Sound a little bitter. He was so terrible to you and you f… https://t.co/apIIfqhsAb",Sun May 26 12:00:16 +0000 2019,Chicopee,MA
57,@faisal_2854 @R_Discussion للأسف الفترة الأخيرة الWWE ما تستخدم كل مصارعيها بشكل جيد.. و القصص و المباريات صارت مملة لبعض المشاهدين,Sun May 26 12:00:16 +0000 2019,Murfreesboro,TN
58,Just posted a photo @ First Watch - Venice https://t.co/ydfHluHBDi,Sun May 26 12:00:16 +0000 2019,Venice Gardens,FL
59,"I'm at Newark Liberty International Airport in Newark, NJ https://t.co/d4YPFkUI8P",Sun May 26 12:00:16 +0000 2019,Newark,NJ
60,"“... I will build my church, and all the powers of hell will not conquer it.” Matthew 16:18

@sevierheights… https://t.co/XuDQbQSAB4",Sun May 26 12:00:16 +0000 2019,Knoxville,TN
61,"كتاب جديد 'كيف تتغلب علي الخوف بالفشل'
😮",Sun May 26 12:00:16 +0000 2019,Plainview,NY
62,"La sabiduría comienza por honrar al Señor; conocer al Santísimo es tener inteligencia.
Pr…
https://t.co/Kq38EIhYBj https://t.co/gujupY6iOE",Sun May 26 12:00:16 +0000 2019,Pugnado Afuera,co
63,Going to EC8 and Husky Gaming Expo in Seattle yesterday was amazing! I'm really glad I got to go and I met so many… https://t.co/InWiy8ry29,Sun May 26 12:00:16 +0000 2019,Seattle,WA
64,Had client return for a second tree! Thank you for coming back to us Karl! We love being a small part of homage to… https://t.co/MUUbICmCUc,Sun May 26 12:00:16 +0000 2019,Seattle,WA
65,Ok but he didn’t have to go off like dat https://t.co/yOLwBT57sR,Sun May 26 12:00:16 +0000 2019,Redlands,CA
66,🔥🔥🔥,Sun May 26 12:00:17 +0000 2019,Los Angeles,CA
67,Naah fr tho,Sun May 26 12:00:17 +0000 2019,Greensboro,NC
68,@iHeartRadio Boy With Luv,Sun May 26 12:00:17 +0000 2019,Baytown,TX
69,@FiremanHokie @oanow Did it say they weren’t wearing them?,Sun May 26 12:00:17 +0000 2019,Hilton Head Island,SC
70,@grumpyursine congrats on 2K https://t.co/RcfbItd8Q5,Sun May 26 12:00:18 +0000 2019,Houston,TX
71,"JERSEY&amp; ALASKA.
.
Two people who couldn’t be more different🧑🏾/🧑🏻. The unlikeliest of friends are a rare find. Treas… https://t.co/Ia13aa39NG",Sun May 26 12:00:18 +0000 2019,Essex,CT
72,https://t.co/yeJ6NgMED8,Sun May 26 12:00:18 +0000 2019,Indian Trail,NC
73,@RasWoldemichael Wrong !!!!!  War crimes are punishable no matter who commits them.  Idiot !!,Sun May 26 12:00:18 +0000 2019,Baltimore,MD
74,🕗  TOON TOON TOON TOON TOON TOON TOON TOON,Sun May 26 12:00:19 +0000 2019,Boston,MA
75,@GSWarriorsLATAM Comparar esos equipos (excepto Miami) con la decisión de Kevin Durant es estar alucinando y ser im… https://t.co/QkjHDLfmX9,Sun May 26 12:00:19 +0000 2019,Deltona,FL
76,The high today is 86 but it's 63 currently. #beachweather,Sun May 26 12:00:19 +0000 2019,Stamford,CT
77,#Whatsthesauce Gm- About last night...Wow.... this right here!! Looking at it made me full! It’s it #lunchtime yet?… https://t.co/7yGxrCl2pP,Sun May 26 12:00:19 +0000 2019,Hillcrest Heights,MD
78,@_wayaheadofya I was sleep 8 hours ago too 💀 just not rn 💀,Sun May 26 12:00:20 +0000 2019,Ladera Heights,CA
79,Yep! 💜 https://t.co/l6qrs5sh9x,Sun May 26 12:00:20 +0000 2019,Bristol,RI
