,city,date,polarity,state,text
0,Raleigh,Sun Jul 29 19:29:02 +0000 2018,0.6250000000000001,NC,Huge Birthday S/O to my wingman and partner in crime hope 19 treats you well buddy buddy!! @coltonwolfe_23 https://t.co/18BK1kwDDu
1,Yaphank,Sun Jul 29 16:30:04 +0000 2018,0.26041666666666663,NY,@norahbufford @kennychesney @Jason_Tartick @Colt3FIVE Girl you are beyond lucky!!  Women everywhere are totally jel… https://t.co/4tmPkKmwff
2,Russellville,Sun Jul 29 16:34:02 +0000 2018,0.0,AR,@Jason_Tartick 😅 https://t.co/G8mWs1yJC8
3,Manhattan,Sun Jul 29 20:31:44 +0000 2018,0.0,NY,Season finale of thebacheloretteabc metmuseum !!! @ The Metropolitan Museum of Art Teens https://t.co/tcJSbIA8Hr
4,Cleveland,Sun Jul 29 21:08:59 +0000 2018,0.0,OH,@mollyejobe @Tartick @Jason_Tartick @WaitressMusical @StephanieTorns I support this
5,Beaumont,Sun Jul 29 21:35:54 +0000 2018,-0.2,TX,@colton_sutton_ Ain't no geeses round here bitchhhh
6,Albuquerque,Sun Jul 29 17:09:48 +0000 2018,0.0,NM,@leodottavio @DosEquis 😍😍😍😍
7,St Matthews,Sun Jul 29 17:47:28 +0000 2018,0.0,KY,@jayycolton  https://t.co/WwLXJZKFGx
8,Los Angeles,Sun Jul 29 15:08:26 +0000 2018,0.0,CA,When @Jason_Tartick brought Becca to @AnchorBarWings instead of Gabriel’s Gate #TheBachlorette https://t.co/7hvUsh9aew
9,Los Angeles,Sun Jul 29 15:09:36 +0000 2018,-0.7,CA,It’s actually painful everytime I hear Garrett say “alls” on #thebachelorette
10,Los Angeles,Sun Jul 29 15:10:33 +0000 2018,0.0,CA,When @Jason_Tartick brought Becca to @AnchorBarWings instead of Gabriel’s Gate #TheBachelorette https://t.co/Y6DHT8uDPY
11,Summit,Sun Jul 29 15:13:36 +0000 2018,0.0,MS,"@coltonsimpson41 @Hudl #ESKEETET 👍🏻
#WERK 💪🏻
#YEEYEE 👏🏻👏🏻👏🏻"
12,St Charles,Sun Jul 29 14:20:31 +0000 2018,0.0,MO,@norahbufford @kennychesney @Jason_Tartick @Colt3FIVE Omg soooo jealous!!!
